length,size,seed,method_proposed,fitness_proposed,min_hamming_proposed,avg_hamming_proposed,gc_penalty_proposed,homopolymer_penalty_proposed,collision_pairs_radius1_proposed,duplicate_count_proposed,kmer_entropy_proposed,valid_gc_fraction_proposed,valid_hp_fraction_proposed,runtime_seconds_proposed,seed_pool_runtime_seconds_proposed,total_runtime_seconds_proposed,output_folder_proposed,method_abc_only,fitness_abc_only,min_hamming_abc_only,avg_hamming_abc_only,gc_penalty_abc_only,homopolymer_penalty_abc_only,collision_pairs_radius1_abc_only,duplicate_count_abc_only,kmer_entropy_abc_only,valid_gc_fraction_abc_only,valid_hp_fraction_abc_only,runtime_seconds_abc_only,seed_pool_runtime_seconds_abc_only,total_runtime_seconds_abc_only,output_folder_abc_only,delta_fitness,delta_min_hamming,delta_avg_hamming,delta_collision_pairs_radius1
12,64,20260428,Proposed,,,,,,,,,,,38.44123721122742,,,critical10_reference_free_transformer_L12_N64_seed_20260428,ABC-only,3.2555302526108254,6.0,9.120039682539682,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260428,,,,
12,64,20260429,Proposed,,,,,,,,,,,37.4436411857605,,,critical10_reference_free_transformer_L12_N64_seed_20260429,ABC-only,3.256649260869555,6.0,9.118055555555555,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260429,,,,
12,64,20260430,Proposed,,,,,,,,,,,35.96267580986023,,,critical10_reference_free_transformer_L12_N64_seed_20260430,ABC-only,3.255408707701746,6.0,9.121031746031743,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260430,,,,
12,64,20260431,Proposed,,,,,,,,,,,40.41439867019653,,,critical10_reference_free_transformer_L12_N64_seed_20260431,ABC-only,3.256784250242067,6.0,9.11656746031746,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260431,,,,
12,64,20260432,Proposed,,,,,,,,,,,41.05428123474121,,,critical10_reference_free_transformer_L12_N64_seed_20260432,ABC-only,3.255369470647007,6.0,9.118055555555555,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260432,,,,
12,64,20260433,Proposed,,,,,,,,,,,36.261619567871094,,,critical10_reference_free_transformer_L12_N64_seed_20260433,ABC-only,3.255291177012136,6.0,9.115575396825395,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260433,,,,
12,64,20260434,Proposed,,,,,,,,,,,38.72704195976257,,,critical10_reference_free_transformer_L12_N64_seed_20260434,ABC-only,3.256000080133316,6.0,9.123511904761903,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260434,,,,
12,64,20260435,Proposed,,,,,,,,,,,38.619478702545166,,,critical10_reference_free_transformer_L12_N64_seed_20260435,ABC-only,3.256021553161234,6.0,9.115575396825395,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260435,,,,
12,64,20260436,Proposed,,,,,,,,,,,41.28391122817993,,,critical10_reference_free_transformer_L12_N64_seed_20260436,ABC-only,3.255079302518703,6.0,9.121031746031743,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260436,,,,
12,64,20260437,Proposed,,,,,,,,,,,40.536622047424316,,,critical10_reference_free_transformer_L12_N64_seed_20260437,ABC-only,3.2556297842315334,6.0,9.117063492063492,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N64_seed_20260437,,,,
12,128,20260428,Proposed,,,,,,,,,,,156.9763207435608,,,critical10_reference_free_transformer_L12_N128_seed_20260428,ABC-only,2.919528507171273,5.0,9.0625,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260428,,,,
12,128,20260429,Proposed,,,,,,,,,,,160.12659907341003,,,critical10_reference_free_transformer_L12_N128_seed_20260429,ABC-only,2.9198083101108416,5.0,9.060162401574804,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260429,,,,
12,128,20260430,Proposed,,,,,,,,,,,158.65612745285034,,,critical10_reference_free_transformer_L12_N128_seed_20260430,ABC-only,2.919722493736156,5.0,9.06040846456693,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260430,,,,
12,128,20260431,Proposed,,,,,,,,,,,141.50214219093323,,,critical10_reference_free_transformer_L12_N128_seed_20260431,ABC-only,2.9194244108822422,5.0,9.062007874015748,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260431,,,,
12,128,20260432,Proposed,,,,,,,,,,,164.40360164642334,,,critical10_reference_free_transformer_L12_N128_seed_20260432,ABC-only,2.919407467014668,5.0,9.058070866141732,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260432,,,,
12,128,20260433,Proposed,,,,,,,,,,,154.11583733558655,,,critical10_reference_free_transformer_L12_N128_seed_20260433,ABC-only,2.918903882842261,5.0,9.058316929133856,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260433,,,,
12,128,20260434,Proposed,,,,,,,,,,,165.22632026672363,,,critical10_reference_free_transformer_L12_N128_seed_20260434,ABC-only,2.9190864813499373,5.0,9.059301181102365,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260434,,,,
12,128,20260435,Proposed,,,,,,,,,,,158.36730432510376,,,critical10_reference_free_transformer_L12_N128_seed_20260435,ABC-only,2.919354571735107,5.0,9.05843996062992,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260435,,,,
12,128,20260436,Proposed,,,,,,,,,,,156.27506279945374,,,critical10_reference_free_transformer_L12_N128_seed_20260436,ABC-only,2.919644815454385,5.0,9.062007874015748,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260436,,,,
12,128,20260437,Proposed,,,,,,,,,,,163.55186414718628,,,critical10_reference_free_transformer_L12_N128_seed_20260437,ABC-only,2.919496881491625,5.0,9.057455708661417,,,0.0,,,,,,,,critical10_reference_free_transformer_L12_N128_seed_20260437,,,,
